@relation numericData

@attribute Case_no numeric
@attribute checking_status_no_checking numeric
@attribute checking_status_more_200 numeric
@attribute checking_status_0_and_200 numeric
@attribute checking_status_less_0 numeric
@attribute credit_history_no_credits numeric
@attribute credit_history_existing_paid numeric
@attribute credit_history_delayed_previsoulsy numeric
@attribute credit_history_critical numeric
@attribute credit_history_all_paid numeric
@attribute purpose_retraining numeric
@attribute purpose_repairs numeric
@attribute purpose_radio_tv numeric
@attribute purpose_other numeric
@attribute purpose_furniture_equipment numeric
@attribute prupose_education numeric
@attribute purpose_business numeric
@attribute purpose_used_car numeric
@attribute purpose_new_car numeric
@attribute purpose_domestic_appliance numeric
@attribute credit_amount numeric
@attribute saving_<100 numeric
@attribute saving_no_saving numeric
@attribute saving_500<=X<1000 numeric
@attribute saving_100<=X<500 numeric
@attribute saving_>=1000 numeric
@attribute employment_<1 numeric
@attribute employment_unemployed numeric
@attribute employment_4<=X<7 numeric
@attribute employment_1<=X<4 numeric
@attribute employment>=7 numeric
@attribute male_mar/wid numeric
@attribute male_div/sep numeric
@attribute male_single numeric
@attribute female_div/dep/mar numeric
@attribute age numeric
@attribute unskilled_resident numeric
@attribute high_qualif/self_emp/mgmt numeric
@attribute skilled numeric
@attribute unemp_or_unskilled_non_res numeric
@attribute class_is_bad numeric
@attribute class_is_good numeric

@data
39,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1225,1,0,0,0,0,0,0,0,1,0,0,0,1,0,37,0,0,1,0,0,1
40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,458,1,0,0,0,0,0,0,0,1,0,0,0,1,0,24,0,0,1,0,0,1
41,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30,0,1,0,0,0,1
42,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1158,0,0,1,0,0,0,0,0,1,0,0,1,0,0,26,0,0,1,0,0,1
43,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6204,1,0,0,0,0,0,0,0,1,0,0,0,1,0,44,1,0,0,0,0,1
44,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6187,0,0,0,1,0,0,0,1,0,0,1,0,0,0,24,0,0,1,0,0,1
45,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6143,1,0,0,0,0,0,0,0,0,1,0,0,0,1,58,1,0,0,0,1,0
46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1393,1,0,0,0,0,1,0,0,0,0,0,0,0,1,35,0,1,0,0,0,1
47,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2299,0,0,1,0,0,0,0,0,0,1,0,0,1,0,39,0,0,1,0,0,1
48,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1352,0,0,1,0,0,0,1,0,0,0,0,0,0,1,23,0,0,0,1,0,1
49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7228,1,0,0,0,0,0,0,0,1,0,0,0,1,0,39,1,0,0,0,0,1
50,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2073,0,0,0,1,0,0,0,0,1,0,0,0,0,1,28,0,0,1,0,0,1
51,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2333,0,1,0,0,0,1,0,0,0,0,0,0,1,0,29,1,0,0,0,0,1
52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5965,1,0,0,0,0,0,0,0,0,1,0,0,1,0,30,0,1,0,0,0,1
53,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1262,1,0,0,0,0,0,0,0,1,0,0,0,1,0,25,0,0,1,0,0,1
55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2225,1,0,0,0,0,0,0,0,0,1,0,0,1,0,57,0,0,1,0,1,0
56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,783,0,1,0,0,0,0,0,0,1,0,0,0,1,0,26,1,0,0,0,0,1
57,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6468,0,1,0,0,0,0,1,0,0,0,0,0,1,0,52,0,1,0,0,1,0
58,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9566,1,0,0,0,0,0,0,0,1,0,0,0,0,1,31,0,0,1,0,0,1
59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1961,1,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0,1,0,0,0,1
60,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6229,1,0,0,0,0,1,0,0,0,0,0,0,0,1,23,1,0,0,0,1,0
61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1391,1,0,0,0,0,0,0,0,1,0,1,0,0,0,27,0,0,1,0,0,1
62,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1537,0,1,0,0,0,0,0,0,0,1,0,0,1,0,50,0,0,1,0,0,1
63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1953,1,0,0,0,0,0,0,0,0,1,0,0,1,0,61,0,1,0,0,1,0
64,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14421,1,0,0,0,0,0,0,0,1,0,0,0,1,0,25,0,0,1,0,1,0
66,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5190,0,1,0,0,0,0,0,0,0,1,0,0,1,0,48,0,0,1,0,0,1
67,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2171,1,0,0,0,0,1,0,0,0,0,0,0,0,1,29,0,0,1,0,0,1
68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1007,0,0,0,0,1,0,0,0,1,0,1,0,0,0,22,0,0,1,0,0,1
70,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2394,0,1,0,0,0,0,0,0,1,0,0,0,0,1,25,0,0,1,0,0,1
71,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8133,1,0,0,0,0,0,0,0,1,0,0,0,0,1,30,0,0,1,0,0,1
72,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,730,0,1,0,0,0,0,0,0,0,1,0,0,1,0,46,1,0,0,0,0,1
73,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1164,1,0,0,0,0,0,0,0,0,1,0,0,1,0,51,0,1,0,0,0,1
74,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5954,1,0,0,0,0,0,0,1,0,0,0,0,0,1,41,1,0,0,0,0,1
75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1977,0,1,0,0,0,0,0,0,0,1,0,0,1,0,40,0,1,0,0,1,0
76,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1526,1,0,0,0,0,0,0,0,0,1,0,0,1,0,66,0,1,0,0,0,1
77,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3965,1,0,0,0,0,1,0,0,0,0,0,0,1,0,34,0,0,1,0,1,0
78,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4771,1,0,0,0,0,0,0,1,0,0,0,0,1,0,51,0,0,1,0,0,1
79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9436,0,1,0,0,0,0,0,0,1,0,0,0,1,0,39,1,0,0,0,0,1
80,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3832,1,0,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,1,0,0,1
81,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5943,0,1,0,0,0,1,0,0,0,0,0,0,0,1,44,0,0,1,0,1,0
82,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1213,0,0,1,0,0,0,0,0,0,1,0,0,1,0,47,0,0,1,0,0,1
83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1568,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24,1,0,0,0,0,1
84,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1755,1,0,0,0,0,0,0,0,0,1,0,0,0,1,58,1,0,0,0,0,1
85,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2315,1,0,0,0,0,0,0,0,0,1,0,0,1,0,52,1,0,0,0,0,1
86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1412,1,0,0,0,0,0,0,0,1,0,0,0,0,1,29,0,1,0,0,0,1
87,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1295,1,0,0,0,0,1,0,0,0,0,0,0,0,1,27,0,0,1,0,0,1
88,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12612,0,0,0,1,0,0,0,0,1,0,0,0,1,0,47,0,0,1,0,1,0
89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2249,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,0,1,0,0,0,1
90,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1108,1,0,0,0,0,0,0,1,0,0,0,0,1,0,28,0,0,1,0,1,0
91,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,618,1,0,0,0,0,0,0,0,0,1,0,0,1,0,56,0,0,1,0,0,1
92,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1409,1,0,0,0,0,0,0,0,0,1,0,0,1,0,54,0,0,1,0,0,1
93,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,797,0,1,0,0,0,0,0,0,0,1,0,0,0,1,33,1,0,0,0,1,0
94,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3617,0,1,0,0,0,0,0,0,0,1,0,0,1,0,20,0,0,1,0,0,1
95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1318,0,0,0,0,1,0,0,0,0,1,0,0,1,0,54,0,0,1,0,0,1
96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15945,1,0,0,0,0,1,0,0,0,0,0,0,1,0,58,0,0,1,0,1,0
97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,0,1,0,0,0,0,0,1,0,0,0,0,0,1,61,0,0,1,0,0,1
98,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2622,0,0,0,1,0,0,0,0,1,0,0,0,1,0,34,0,0,1,0,0,1
99,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2337,1,0,0,0,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,0,1
100,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7057,0,1,0,0,0,0,0,1,0,0,0,0,1,0,36,0,1,0,0,0,1
101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1469,0,0,0,1,0,0,0,0,0,1,1,0,0,0,41,1,0,0,0,0,1
102,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2323,1,0,0,0,0,0,0,1,0,0,0,0,1,0,24,0,0,1,0,0,1
103,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,932,1,0,0,0,0,0,0,0,1,0,0,0,0,1,24,0,0,1,0,0,1
104,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1919,1,0,0,0,0,0,0,1,0,0,0,0,1,0,35,0,0,1,0,0,1
105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2445,0,1,0,0,0,1,0,0,0,0,1,0,0,0,26,0,0,1,0,0,1
106,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11938,1,0,0,0,0,0,0,0,1,0,0,0,1,0,39,0,1,0,0,1,0
107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6458,1,0,0,0,0,0,0,0,0,1,0,0,1,0,39,0,1,0,0,1,0
108,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6078,1,0,0,0,0,0,0,1,0,0,0,0,1,0,32,0,0,1,0,0,1
109,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7721,0,1,0,0,0,1,0,0,0,0,0,0,0,1,30,0,0,1,0,0,1
110,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1410,0,0,1,0,0,0,0,0,0,1,1,0,0,0,35,0,0,1,0,0,1
111,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1449,0,0,0,1,0,0,0,0,0,1,0,1,0,0,31,0,0,1,0,0,1
112,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,392,1,0,0,0,0,1,0,0,0,0,0,0,0,1,23,0,0,1,0,0,1
113,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6260,1,0,0,0,0,0,0,1,0,0,0,0,1,0,28,1,0,0,0,0,1
114,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7855,1,0,0,0,0,0,0,0,1,0,0,0,0,1,25,0,0,1,0,1,0
115,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1680,0,0,1,0,0,0,0,0,0,1,1,0,0,0,35,0,0,1,0,0,1
116,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3578,0,1,0,0,0,0,0,0,0,1,0,0,1,0,47,0,0,1,0,0,1
117,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7174,0,1,0,0,0,0,0,1,0,0,0,0,0,1,30,0,1,0,0,1,0
118,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2132,0,1,0,0,0,1,0,0,0,0,0,0,0,1,27,0,0,1,0,0,1
119,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4281,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23,0,0,1,0,1,0
120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2366,0,0,1,0,0,0,0,1,0,0,0,1,0,0,36,0,1,0,0,0,1
121,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1835,1,0,0,0,0,0,0,0,1,0,0,0,0,1,25,0,0,1,0,1,0
122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3868,1,0,0,0,0,0,0,0,0,1,0,0,0,1,41,0,1,0,0,0,1
123,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1768,1,0,0,0,0,0,0,0,1,0,0,0,1,0,24,1,0,0,0,0,1
124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,781,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63,0,0,1,0,0,1
125,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1924,0,1,0,0,0,1,0,0,0,0,0,0,0,1,27,0,0,1,0,1,0
126,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2121,1,0,0,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,0,0,1
127,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,701,1,0,0,0,0,0,0,0,1,0,1,0,0,0,40,1,0,0,0,0,1
128,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,639,1,0,0,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,0,1,0
129,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1860,1,0,0,0,0,0,1,0,0,0,0,0,1,0,34,0,1,0,0,0,1
130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3499,1,0,0,0,0,0,0,0,1,0,0,0,0,1,29,0,0,1,0,1,0
131,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8487,0,1,0,0,0,0,0,1,0,0,0,0,0,1,24,0,0,1,0,0,1
132,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6887,1,0,0,0,0,0,0,0,1,0,0,0,1,0,29,0,0,1,0,1,0
133,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2708,1,0,0,0,0,1,0,0,0,0,0,0,1,0,27,1,0,0,0,0,1
134,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1984,1,0,0,0,0,0,0,0,1,0,0,0,1,0,47,0,0,1,0,0,1
135,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10144,0,0,0,1,0,0,0,1,0,0,0,0,0,1,21,0,0,1,0,0,1
136,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1240,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38,0,0,1,0,0,1
137,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8613,0,0,0,0,1,0,0,0,1,0,0,0,1,0,27,0,0,1,0,0,1
138,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,766,0,0,1,0,0,0,0,0,1,0,0,0,1,0,66,1,0,0,0,1,0
139,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2728,0,1,0,0,0,0,0,1,0,0,0,0,1,0,35,0,0,1,0,0,1
140,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1881,1,0,0,0,0,0,0,0,1,0,0,0,0,1,44,1,0,0,0,0,1
141,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,709,0,0,0,0,1,1,0,0,0,0,1,0,0,0,27,0,0,0,1,0,1
142,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4795,1,0,0,0,0,1,0,0,0,0,0,0,0,1,30,0,1,0,0,0,1
143,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3416,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0,1,0,0,0,1
144,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2462,1,0,0,0,0,0,0,0,1,0,0,0,1,0,22,0,0,1,0,1,0
145,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2288,1,0,0,0,0,1,0,0,0,0,0,0,0,1,23,0,0,1,0,0,1
146,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3566,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,0,0,1,0,0,1
147,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,860,1,0,0,0,0,0,0,0,0,1,0,0,0,1,39,0,0,1,0,0,1
148,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,682,0,0,0,1,0,0,0,1,0,0,0,0,0,1,51,0,0,1,0,0,1
149,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5371,1,0,0,0,0,0,0,0,1,0,0,0,1,0,28,0,0,1,0,0,1
150,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1582,0,0,0,0,1,0,0,0,0,1,0,0,1,0,46,0,0,1,0,0,1
151,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1346,0,0,0,1,0,0,0,0,0,1,0,0,1,0,42,0,0,1,0,0,1
152,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1924,1,0,0,0,0,0,0,0,1,0,0,0,1,0,38,0,0,1,0,0,1
153,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5848,1,0,0,0,0,0,0,0,1,0,0,0,1,0,24,0,0,1,0,0,1
